"","x"
"GTEX-1JMPZ-1426-SM-CJI3C",4
"GTEX-WHPG-1026-SM-3NMBA",4
"GTEX-1GMR3-0426-SM-7PC17",4
"GTEX-1HSGN-1126-SM-CJI4G",4
"GTEX-1HSGN-0926-SM-CNNQM",4
"GTEX-14PHX-2126-SM-6EU2U",4
"GTEX-14XAO-1126-SM-6EU11",4
"GTEX-13OW6-0926-SM-5L3GM",4
"GTEX-1GN1U-1426-SM-7P8TF",4
"GTEX-1EMGI-1226-SM-793DD",4
"GTEX-WFG8-0626-SM-3GILJ",4
"GTEX-WQUQ-1426-SM-3MJFD",4
"GTEX-11LCK-0926-SM-5A5KA",4
