Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
TCGA-YL-A8SJ-01B-11R-A37L-07,,GTEX-11ZTT-0926-SM-5EQMS,,TCGA-DD-A4NB-01A-12R-A266-07,GTEX-RU1J-1026-SM-46MUR
TCGA-CH-5761-01A-11R-1580-07,,GTEX-ZVZP-1426-SM-5NQ7R,,TCGA-DD-AAVY-01A-11R-A41C-07,GTEX-145ME-1326-SM-5O98Q
TCGA-G9-7509-01A-11R-A41O-07,,GTEX-Y5V5-1526-SM-4VBQ1,,TCGA-LG-A6GG-01A-11R-A311-07,GTEX-UPIC-1526-SM-4IHLU
TCGA-EJ-7791-01A-11R-2118-07,,GTEX-139D8-1426-SM-5IJEX,,TCGA-CC-A8HT-01A-11R-A36F-07,GTEX-ZLWG-1026-SM-4WWC4
TCGA-CH-5744-01A-11R-1580-07,,GTEX-ZYVF-2326-SM-5E44Z,,TCGA-DD-A1EG-01A-11R-A213-07,GTEX-11EM3-1926-SM-5987U
TCGA-EJ-5515-01A-01R-1580-07,,GTEX-XQ8I-1626-SM-4BOOI,,TCGA-DD-A73F-01A-11R-A32O-07,GTEX-POMQ-1226-SM-3P61F
TCGA-KK-A5A1-01A-11R-A29R-07,,GTEX-ZYW4-1426-SM-5SIAX,,TCGA-5R-AA1D-01A-11R-A38B-07,GTEX-12ZZX-2126-SM-5LZVL
TCGA-HC-7747-11A-01R-2118-07,,GTEX-139TU-1326-SM-5LZXW,,GTEX-13O3O-1826-SM-5IFGW,GTEX-1117F-2426-SM-5EGGH
TCGA-V1-A8MU-01A-11R-A37L-07,,TCGA-L5-A43C-11A-11R-A24K-31,,TCGA-CC-A7IE-01A-21R-A38B-07,GTEX-12WSG-2126-SM-5EGJ7
GTEX-13RTJ-2126-SM-5S2PZ,,TCGA-VQ-A927-01A-12R-A414-31,,,GTEX-WI4N-2426-SM-4OOSC
GTEX-XPVG-2026-SM-4B65E,,TCGA-VQ-A91V-01A-11R-A414-31,,,GTEX-S32W-1426-SM-4AD66
GTEX-ZF29-1926-SM-5S2P1,,TCGA-BR-8486-01A-31R-2402-13,,,GTEX-WWYW-2826-SM-4MVOQ
GTEX-Q2AG-0326-SM-48U1O,,GTEX-XQ3S-1026-SM-4BOPJ,,,GTEX-11DXX-1526-SM-5H115
TCGA-BH-A0HA-11A-31R-A12P-07,,GTEX-Y3I4-0926-SM-4TT2B,,,GTEX-PWN1-2026-SM-48TD9
GTEX-R53T-1526-SM-48FEK,,TCGA-D7-5577-01A-01R-1602-13,,,GTEX-P4QT-2026-SM-3NMCJ
GTEX-ZXES-0826-SM-5E43C,,GTEX-13O61-1226-SM-5KM21,,,GTEX-11I78-2126-SM-5A5K8
GTEX-T5JW-2026-SM-4DM63,,TCGA-L5-A4OF-11A-12R-A260-31,,,GTEX-P78B-2526-SM-3P5ZY
GTEX-WYBS-0926-SM-3NM94,,TCGA-JY-A939-01A-12R-A37I-31,,,GTEX-131YS-2326-SM-5IJFJ
GTEX-YB5K-1626-SM-5IFIN,,GTEX-PLZ6-0626-SM-3P61B,,,GTEX-113JC-2226-SM-5EGJG
GTEX-1117F-2826-SM-5GZXL,,GTEX-XBED-0926-SM-48TCE,,,GTEX-YJ8O-1126-SM-5P9IS
GTEX-XOT4-0726-SM-4GIAW,,GTEX-13U4I-1326-SM-5KM25,,,GTEX-ZP4G-0726-SM-4WWF2
GTEX-S32W-2026-SM-4AD6E,,GTEX-WRHK-0426-SM-4MVOG,,,GTEX-Y114-1826-SM-4TT87
TCGA-BH-A0BR-01A-21R-A115-07,,GTEX-13YAN-2026-SM-5Q5EY,,,GTEX-QCQG-1326-SM-48U24
TCGA-E9-A1NC-01A-21R-A26B-07,,GTEX-ZV7C-1326-SM-5BC7G,,,GTEX-W5WG-1326-SM-4LMI9
