i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
153,GTEX-13NYS-0326-SM-5MR4L,950.4689999999999,49.5586,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
154,GTEX-13NZA-0526-SM-5L3D7,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
155,GTEX-13O1R-2426-SM-5KLZZ,0.0173368,0.0105647,420.441,218.40200000000002,0.0160503,284.165,77.0932,0.012999200000000002
156,GTEX-13O21-1526-SM-5K7W4,0.0173368,0.0105647,466.908,55.9527,0.0160503,162.224,0.013169899999999998,315.017
157,GTEX-13O3O-1126-SM-5KM4Q,0.0173368,0.0105647,831.1669999999999,168.89700000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
158,GTEX-13O3O-1526-SM-5KM1C,491.07199999999995,0.0105647,0.0332931,357.175,151.816,0.0245798,0.013169899999999998,0.012999200000000002
159,GTEX-13O3P-0226-SM-5KM3Z,0.0173368,0.0105647,544.715,0.030206900000000002,0.0160503,455.343,0.013169899999999998,0.012999200000000002
160,GTEX-13O3P-1426-SM-5L3DT,393.219,0.0105647,332.62800000000004,274.233,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
161,GTEX-13OVG-0626-SM-5IFEP,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
162,GTEX-13OVI-2126-SM-5KM3U,0.0173368,0.0105647,958.194,0.030206900000000002,0.0160503,0.0245798,41.8521,0.012999200000000002
163,GTEX-13OVJ-1426-SM-5K7Z2,0.0173368,0.0105647,524.965,305.08,0.0160503,0.0245798,0.013169899999999998,170.03099999999998
164,GTEX-13OVJ-1826-SM-5KM2D,0.0173368,0.0105647,565.195,434.86800000000005,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
165,GTEX-13OVJ-2826-SM-5L3GW,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
166,GTEX-13OVL-0006-SM-5O996,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
167,GTEX-13OVL-0126-SM-5L3GJ,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,725.758,274.268
168,GTEX-13OVL-0326-SM-5IJCS,0.0173368,0.0105647,900.865,0.030206900000000002,0.0160503,99.1927,0.013169899999999998,0.012999200000000002
169,GTEX-13OW5-0011-R6b-SM-5O9BW,0.0173368,0.0105647,0.0332931,0.030206900000000002,850.732,149.308,0.013169899999999998,0.012999200000000002
170,GTEX-13OW5-2826-SM-5KM1G,0.0173368,0.0105647,708.4989999999999,291.565,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
171,GTEX-13OW6-0926-SM-5L3GM,385.254,0.0105647,505.723,109.104,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
172,GTEX-13OW8-2326-SM-5L3I9,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
173,GTEX-13PL7-2526-SM-5IFGR,0.0173368,49.1629,0.0332931,343.67400000000004,0.0160503,25.6758,581.566,0.012999200000000002
174,GTEX-13PLJ-0326-SM-5L3I7,710.4689999999999,0.0105647,0.0332931,107.111,0.0160503,0.0245798,0.013169899999999998,182.48
175,GTEX-13PLJ-0526-SM-5K7VW,0.0173368,0.0105647,933.565,55.3081,11.206,0.0245798,0.013169899999999998,0.012999200000000002
176,GTEX-13PVR-0926-SM-5S2RB,491.10699999999997,0.0105647,314.018,194.956,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
